vout	I(Vout_C)	I(Vout_S)
-6.000000000000000e-01	2.014412e-05	2.214324e-05
-5.900000000000000e-01	2.014126e-05	2.209576e-05
-5.800000000000000e-01	2.013839e-05	2.204828e-05
-5.700000000000000e-01	2.013550e-05	2.200079e-05
-5.599999999999999e-01	2.013261e-05	2.195330e-05
-5.499999999999999e-01	2.012970e-05	2.190580e-05
-5.400000000000000e-01	2.012678e-05	2.185830e-05
-5.300000000000000e-01	2.012384e-05	2.181079e-05
-5.200000000000000e-01	2.012089e-05	2.176328e-05
-5.100000000000000e-01	2.011794e-05	2.171576e-05
-5.000000000000000e-01	2.011496e-05	2.166824e-05
-4.900000000000000e-01	2.011198e-05	2.162071e-05
-4.800000000000000e-01	2.010898e-05	2.157318e-05
-4.700000000000000e-01	2.010597e-05	2.152564e-05
-4.600000000000000e-01	2.010294e-05	2.147809e-05
-4.500000000000000e-01	2.009990e-05	2.143053e-05
-4.399999999999999e-01	2.009685e-05	2.138298e-05
-4.299999999999999e-01	2.009378e-05	2.133541e-05
-4.200000000000000e-01	2.009071e-05	2.128783e-05
-4.100000000000000e-01	2.008761e-05	2.124025e-05
-4.000000000000000e-01	2.008450e-05	2.119266e-05
-3.900000000000000e-01	2.008138e-05	2.114506e-05
-3.800000000000000e-01	2.007825e-05	2.109745e-05
-3.700000000000000e-01	2.007510e-05	2.104983e-05
-3.600000000000000e-01	2.007193e-05	2.100221e-05
-3.500000000000000e-01	2.006875e-05	2.095457e-05
-3.400000000000000e-01	2.006556e-05	2.090693e-05
-3.300000000000000e-01	2.006235e-05	2.085927e-05
-3.200000000000000e-01	2.005913e-05	2.081160e-05
-3.100000000000000e-01	2.005589e-05	2.076392e-05
-3.000000000000000e-01	2.005264e-05	2.071623e-05
-2.900000000000000e-01	2.004937e-05	2.066852e-05
-2.800000000000000e-01	2.004608e-05	2.062081e-05
-2.700000000000000e-01	2.004278e-05	2.057308e-05
-2.600000000000000e-01	2.003947e-05	2.052533e-05
-2.499999999999999e-01	2.003614e-05	2.047757e-05
-2.400000000000000e-01	2.003279e-05	2.042979e-05
